"Group","Satisfaction","Explanation"
1,4.1,"1033 patients with no regular health care provider"
1,4.3,"were randomly assigned to receive treatment from"
1,4.7,"either a doctor or a nurse practitioner for"
1,4.9,"primary and follow-up care after an emergency room"
1,4.3,"or urgent care facility visit."
1,4.3,""
1,4.7,"Patients were interviewed 6 months later to assess"
1,4.6,"their overall level of satisfaction with the care"
1,4.6,"they had received."
1,4.6,""
1,4.2,"There were 389 patients assigned to see a doctor"
1,4.2,"and 644 patients assigned to see a nurse"
1,4.8,"practitioner."
1,4.1,""
1,4.3,"The satisfaction scores are based on a 5-point"
1,4.4,"scale, where 5 is the most positive responses."
1,4.4,""
1,4.2,"The variable ""Group"" indicates whether a patient"
1,4.3,"was assigned to see a doctor (Group = 1) or"
1,4.6,"Nurse (Group = 2)."
1,4.4,"The variable ""Satisfaction"" gives the satisfaction"
1,4.4,"scores reported by the patients."
1,4.5,""
1,4.6,"Is there a difference in the mean satisfaction"
1,4.2,"rating given by patients treated by doctors"
1,4.3,"versus nurse practioners?"
1,4,""
1,4.3,""
1,4.4,"Source:"
1,4.6,"Mary O. Mundinger, et. al.,"
1,4.7,"Primary Care Outcomes in Patients Treated by Nurse"
1,4.2,"Practitioners or Physicians: A Randomized Trial."
1,4.5,"JAMA, 283:59-68, 2000."
1,4.6,""
1,4.5,""
1,4.7,""
1,4.3,""
1,4.1,""
1,4.3,""
1,4.5,""
1,4.7,""
1,5,""
1,4.3,""
1,4.2,""
1,4.1,""
1,4.4,""
1,4.7,""
1,4.3,""
1,4.2,""
1,4.5,""
1,4.7,""
1,4.4,""
1,4.5,""
1,4.3,""
1,4.5,""
1,4.8,""
1,4.3,""
1,4.7,""
1,4.4,""
1,4.4,""
1,4.4,""
1,4.6,""
1,4.4,""
1,4,""
1,4.3,""
1,4.4,""
1,4.5,""
1,4.4,""
1,4.7,""
1,4.8,""
1,4.1,""
1,4.4,""
1,4.6,""
1,4.3,""
1,4.6,""
1,4.4,""
1,4.3,""
1,4.6,""
1,4.3,""
1,4.5,""
1,4.2,""
1,4.6,""
1,4.1,""
1,3.8,""
1,4.7,""
1,4.2,""
1,4.1,""
1,4,""
1,4.4,""
1,4.4,""
1,4.6,""
1,4.8,""
1,4.5,""
1,4.8,""
1,4.7,""
1,4.2,""
1,4.5,""
1,4.6,""
1,4.5,""
1,4.4,""
1,4.3,""
1,4.6,""
1,4.3,""
1,4.2,""
1,4.4,""
1,4.6,""
1,4.6,""
1,4.4,""
1,4.5,""
1,4.3,""
1,4.5,""
1,4.3,""
1,4.4,""
1,4.6,""
1,4.6,""
1,4.1,""
1,4.8,""
1,4.5,""
1,4.5,""
1,4.6,""
1,4.4,""
1,4.7,""
1,4.4,""
1,4.6,""
1,4.5,""
1,4.3,""
1,4.6,""
1,4.5,""
1,4.8,""
1,4.5,""
1,4.6,""
1,4.4,""
1,4.4,""
1,4.1,""
1,4.7,""
1,4.1,""
1,4.7,""
1,4.7,""
1,4.5,""
1,4.2,""
1,4.7,""
1,4.4,""
1,5,""
1,4.3,""
1,4.9,""
1,4.6,""
1,4.8,""
1,4.8,""
1,4.5,""
1,4.6,""
1,4.2,""
1,4.5,""
1,4.2,""
1,4.7,""
1,4.1,""
1,4.3,""
1,4.2,""
1,4.3,""
1,3.9,""
1,4.1,""
1,4.9,""
1,4.4,""
1,4.3,""
1,4.5,""
1,4.4,""
1,4.5,""
1,4.7,""
1,4.3,""
1,4.4,""
1,4.2,""
1,4.6,""
1,3.9,""
1,4.4,""
1,4.7,""
1,4.3,""
1,4.5,""
1,4.7,""
1,4.1,""
1,4.4,""
1,4.5,""
1,4.5,""
1,4.6,""
1,4.5,""
1,4.6,""
1,4.6,""
1,4.3,""
1,4.8,""
1,4.6,""
1,4,""
1,4.4,""
1,4.5,""
1,4.1,""
1,4.3,""
1,4.2,""
1,4.7,""
1,4.5,""
1,4.7,""
1,4.4,""
1,4.4,""
1,4.4,""
1,4.2,""
1,4.7,""
1,4.7,""
1,4,""
1,5,""
1,4.3,""
1,4,""
1,4.7,""
1,4.2,""
1,4.3,""
1,4.2,""
1,4.2,""
1,4.5,""
1,4,""
1,4.5,""
1,4.4,""
1,3.8,""
1,4.4,""
1,4.6,""
1,4.2,""
1,4.7,""
1,4.3,""
1,4.5,""
1,4.8,""
1,4.8,""
1,4.3,""
1,3.9,""
1,4.8,""
1,4.2,""
1,3.6,""
1,4.3,""
1,4.6,""
1,4.7,""
1,4.9,""
1,4.3,""
1,4.8,""
1,4.1,""
1,4.4,""
1,4.6,""
1,4.5,""
1,4.7,""
1,4.4,""
1,4.4,""
1,4.3,""
1,4.7,""
1,4.6,""
1,4.4,""
1,4.7,""
1,4.5,""
1,4.7,""
1,4.5,""
1,4.5,""
1,4.6,""
1,4.4,""
1,4.2,""
1,4.7,""
1,4.1,""
1,4.6,""
1,4.5,""
1,4.4,""
1,4.8,""
1,4.4,""
1,4.9,""
1,4.9,""
1,4.5,""
1,4.5,""
1,4.5,""
1,4.2,""
1,4.4,""
1,4.2,""
1,4.7,""
1,4.4,""
1,4.4,""
1,4.6,""
1,4.7,""
1,4.6,""
1,4.7,""
1,4.7,""
1,4.5,""
1,4.6,""
1,4.5,""
1,4.4,""
1,4.6,""
1,4.4,""
1,4.5,""
1,4.9,""
1,4.6,""
1,4.1,""
1,4.3,""
1,4.6,""
1,4.4,""
1,4.5,""
1,4.3,""
1,4.6,""
1,4.5,""
1,4.4,""
1,4.1,""
1,4.2,""
1,4.5,""
1,4.5,""
1,4.7,""
1,4.2,""
1,4.6,""
1,4.6,""
1,4.4,""
1,4.4,""
1,4.7,""
1,4.2,""
1,4.4,""
1,4.5,""
1,4.6,""
1,4.8,""
1,4.4,""
1,4.8,""
1,4.8,""
1,4.2,""
1,4.4,""
1,4.7,""
1,4.6,""
1,4.4,""
1,4.1,""
1,4.1,""
1,4.4,""
1,4.7,""
1,4.5,""
1,4.6,""
1,4.1,""
1,4.1,""
1,3.9,""
1,4.6,""
1,4.6,""
1,4.4,""
1,4.8,""
1,4.1,""
1,4.2,""
1,4.6,""
1,4.5,""
1,4.7,""
1,4.5,""
1,4.3,""
1,4.4,""
1,4.5,""
1,4.7,""
1,4.2,""
1,4.7,""
1,4.7,""
1,4.5,""
1,4.5,""
1,4.4,""
1,4.7,""
1,4.3,""
1,4.8,""
1,4.4,""
1,4.6,""
1,4.1,""
1,4.6,""
1,4.7,""
1,4.6,""
1,4.4,""
1,4.3,""
1,4.4,""
1,4.5,""
1,4.4,""
1,4.5,""
1,4.5,""
1,4.4,""
1,4.5,""
1,4.5,""
1,4.8,""
1,4.4,""
1,4.6,""
1,4.6,""
1,4.5,""
1,3.6,""
1,4.8,""
1,4.2,""
1,4.5,""
1,4,""
1,4.7,""
1,4.9,""
1,4.3,""
1,4.7,""
1,4.6,""
1,4.4,""
1,4.7,""
1,4.3,""
1,4.5,""
1,4.8,""
1,4.6,""
2,3.8,""
2,4.2,""
2,4.7,""
2,4.3,""
2,4.6,""
2,4.8,""
2,4.3,""
2,4.6,""
2,4.4,""
2,4.2,""
2,4.4,""
2,4.8,""
2,4.5,""
2,4.5,""
2,4.6,""
2,4.1,""
2,4.7,""
2,4.3,""
2,4.6,""
2,4.5,""
2,4.3,""
2,4.6,""
2,4.1,""
2,4.6,""
2,4.6,""
2,4,""
2,4.2,""
2,4.3,""
2,4.4,""
2,4.9,""
2,4.4,""
2,4.9,""
2,4.2,""
2,4.4,""
2,4.6,""
2,4.1,""
2,4.5,""
2,3.6,""
2,4.5,""
2,4.5,""
2,4.2,""
2,4.5,""
2,4.5,""
2,4.4,""
2,4.9,""
2,4.4,""
2,4.9,""
2,4.1,""
2,4.7,""
2,4.5,""
2,4.9,""
2,4.5,""
2,4.8,""
2,4.6,""
2,4.9,""
2,4.3,""
2,4.5,""
2,4.7,""
2,4.6,""
2,4.4,""
2,4.7,""
2,4.4,""
2,3.8,""
2,4.7,""
2,4.6,""
2,4.5,""
2,4.8,""
2,4.6,""
2,4.5,""
2,4.2,""
2,4,""
2,4.4,""
2,4.7,""
2,4.3,""
2,4.5,""
2,4.7,""
2,4.6,""
2,4.6,""
2,4.5,""
2,4.5,""
2,4.7,""
2,4.7,""
2,4.5,""
2,4.6,""
2,4.2,""
2,4.7,""
2,4.7,""
2,4.4,""
2,4.4,""
2,4.4,""
2,4.2,""
2,4.5,""
2,4.6,""
2,4.5,""
2,4.5,""
2,4.3,""
2,4.4,""
2,4.2,""
2,4.5,""
2,4.4,""
2,4.5,""
2,4.2,""
2,4.7,""
2,4.8,""
2,4.4,""
2,4.5,""
2,4.6,""
2,4.4,""
2,4.3,""
2,4.7,""
2,4.6,""
2,4.4,""
2,4.4,""
2,4.3,""
2,4.3,""
2,4.4,""
2,4.6,""
2,4.5,""
2,4.2,""
2,4.7,""
2,4.4,""
2,4.4,""
2,4.7,""
2,4.6,""
2,4.2,""
2,4.3,""
2,4.7,""
2,4.6,""
2,4.5,""
2,4.6,""
2,4.2,""
2,4.3,""
2,4.7,""
2,4.2,""
2,4.6,""
2,4.5,""
2,4.6,""
2,3.9,""
2,4.7,""
2,4.8,""
2,4.2,""
2,4.3,""
2,4.4,""
2,4.3,""
2,4.3,""
2,4.8,""
2,4.6,""
2,4.5,""
2,4.4,""
2,4.6,""
2,4.2,""
2,4.3,""
2,4.5,""
2,4.6,""
2,4.3,""
2,4.2,""
2,4.8,""
2,4.3,""
2,4.5,""
2,4.4,""
2,4.7,""
2,4.8,""
2,4.4,""
2,4.6,""
2,4.9,""
2,4.5,""
2,4.6,""
2,4.6,""
2,4.5,""
2,4.4,""
2,4.8,""
2,4.5,""
2,4.2,""
2,4.3,""
2,4.4,""
2,4.4,""
2,4.5,""
2,4.6,""
2,4,""
2,4.3,""
2,4.2,""
2,4.3,""
2,4,""
2,4.6,""
2,4.1,""
2,4.4,""
2,4.6,""
2,4.3,""
2,4.4,""
2,4.4,""
2,4.1,""
2,4.3,""
2,4.6,""
2,4.1,""
2,4.4,""
2,4.3,""
2,4.6,""
2,4.6,""
2,4.3,""
2,4.3,""
2,4.7,""
2,4.7,""
2,4.5,""
2,4.3,""
2,4.8,""
2,4.2,""
2,4.6,""
2,4.1,""
2,4.8,""
2,4.1,""
2,4.5,""
2,4.5,""
2,4.8,""
2,4.8,""
2,4.4,""
2,4.7,""
2,4.5,""
2,4.3,""
2,4.7,""
2,4.3,""
2,4.4,""
2,4.3,""
2,4.4,""
2,4.7,""
2,4.3,""
2,4.6,""
2,4.7,""
2,4.2,""
2,4.3,""
2,4.8,""
2,4.3,""
2,4.1,""
2,4.6,""
2,4.6,""
2,4.3,""
2,4.8,""
2,4.6,""
2,4.7,""
2,4.6,""
2,4.3,""
2,3.9,""
2,4.7,""
2,4.6,""
2,4.5,""
2,4.4,""
2,4.7,""
2,4.1,""
2,4.5,""
2,4.8,""
2,4.5,""
2,4.5,""
2,4,""
2,4.5,""
2,4.2,""
2,4.5,""
2,4.1,""
2,4.3,""
2,5,""
2,4.5,""
2,4.4,""
2,4.5,""
2,4.5,""
2,4.7,""
2,4.2,""
2,4.4,""
2,4.2,""
2,4.5,""
2,4.7,""
2,4.6,""
2,4.3,""
2,4.4,""
2,4.3,""
2,4.4,""
2,4.2,""
2,4.7,""
2,4.7,""
2,4.2,""
2,4.7,""
2,4.2,""
2,4.4,""
2,4.4,""
2,4.1,""
2,4.9,""
2,4.3,""
2,4.4,""
2,4.7,""
2,4.5,""
2,4.5,""
2,4.2,""
2,4.3,""
2,4.3,""
2,4.3,""
2,4.6,""
2,4.3,""
2,4.5,""
2,4,""
2,4.4,""
2,4.3,""
2,4.8,""
2,4.7,""
2,4.3,""
2,4.8,""
2,4.2,""
2,4.6,""
2,4.5,""
2,4.9,""
2,4.8,""
2,4.5,""
2,4.2,""
2,4.5,""
2,4.6,""
2,4.5,""
2,4.6,""
2,4.5,""
2,4.5,""
2,4.2,""
2,4.6,""
2,4.3,""
2,4.2,""
2,4.5,""
2,4.6,""
2,4.3,""
2,4.2,""
2,4.6,""
2,4.2,""
2,4.5,""
2,4.6,""
2,5,""
2,4.7,""
2,4.7,""
2,4.3,""
2,4.5,""
2,4.7,""
2,4.2,""
2,4.2,""
2,4.3,""
2,4.3,""
2,3.9,""
2,4.7,""
2,4.8,""
2,4.1,""
2,4.5,""
2,3.9,""
2,4.7,""
2,4.5,""
2,4.5,""
2,4.3,""
2,4.3,""
2,4.3,""
2,4.6,""
2,4.5,""
2,4.3,""
2,4.6,""
2,4.7,""
2,4.3,""
2,4.6,""
2,4.3,""
2,4.3,""
2,4.5,""
2,4.4,""
2,4.3,""
2,4.7,""
2,4.5,""
2,4.3,""
2,4.5,""
2,4.8,""
2,4.1,""
2,4.5,""
2,4.6,""
2,4.5,""
2,4.4,""
2,4.2,""
2,4.2,""
2,4.6,""
2,4.7,""
2,4.3,""
2,4.3,""
2,4.6,""
2,4.7,""
2,4.6,""
2,4.6,""
2,4.5,""
2,4.7,""
2,4.5,""
2,4.6,""
2,4.3,""
2,4.2,""
2,4.4,""
2,4.7,""
2,4.5,""
2,4.6,""
2,4.5,""
2,4.4,""
2,4.6,""
2,4.5,""
2,4.7,""
2,4.6,""
2,4.4,""
2,4.5,""
2,4.7,""
2,4,""
2,4.3,""
2,4.4,""
2,4.6,""
2,4.3,""
2,4.3,""
2,4.8,""
2,3.9,""
2,4.5,""
2,4.4,""
2,4.6,""
2,4.1,""
2,4.4,""
2,4.2,""
2,4.5,""
2,4.5,""
2,4.8,""
2,4.1,""
2,4.4,""
2,4.3,""
2,4.6,""
2,4.9,""
2,4.5,""
2,4.7,""
2,4.3,""
2,4.8,""
2,4.7,""
2,4.4,""
2,4.9,""
2,4.4,""
2,4.9,""
2,4.5,""
2,4.4,""
2,4.6,""
2,4.7,""
2,4.2,""
2,4.1,""
2,4.5,""
2,4.3,""
2,4.6,""
2,4.4,""
2,4.1,""
2,4.4,""
2,4.4,""
2,4.4,""
2,4.3,""
2,4.4,""
2,4.4,""
2,4.4,""
2,4.3,""
2,4.4,""
2,4.6,""
2,4.6,""
2,4.6,""
2,4.3,""
2,4.6,""
2,4.3,""
2,4.8,""
2,4.6,""
2,4.2,""
2,4.3,""
2,4.3,""
2,4.6,""
2,4.4,""
2,4.4,""
2,4.5,""
2,4.4,""
2,4.2,""
2,4.4,""
2,4.7,""
2,4.7,""
2,4.4,""
2,4.2,""
2,4.6,""
2,4.3,""
2,4.4,""
2,4.2,""
2,4.6,""
2,4.7,""
2,4.2,""
2,4.1,""
2,4.7,""
2,4.5,""
2,4.6,""
2,4.5,""
2,4.2,""
2,4.9,""
2,4.5,""
2,4.5,""
2,4.2,""
2,4.5,""
2,4.6,""
2,4.8,""
2,4.1,""
2,4.2,""
2,4.3,""
2,3.9,""
2,4.4,""
2,4.5,""
2,4.2,""
2,4.2,""
2,4.4,""
2,4.6,""
2,4.4,""
2,4.7,""
2,4.4,""
2,4.8,""
2,4.6,""
2,4.6,""
2,4.8,""
2,4.6,""
2,4.4,""
2,4.6,""
2,4.6,""
2,4.4,""
2,4.1,""
2,4.4,""
2,4.3,""
2,4.6,""
2,4.2,""
2,4.6,""
2,4.6,""
2,4.3,""
2,4.4,""
2,4.4,""
2,3.9,""
2,4.6,""
2,4.4,""
2,4.7,""
2,4.1,""
2,4.5,""
2,4.6,""
2,4.2,""
2,4.3,""
2,4.7,""
2,4.5,""
2,4.4,""
2,4.3,""
2,4.4,""
2,4.6,""
2,4.8,""
2,4.4,""
2,4.6,""
2,4.4,""
2,4.6,""
2,4.2,""
2,4.6,""
2,4.5,""
2,4.7,""
2,4.6,""
2,4.4,""
2,4.2,""
2,3.7,""
2,4.5,""
2,4.2,""
2,4.1,""
2,4.6,""
2,4.3,""
2,4.7,""
2,4.3,""
2,4.5,""
2,4.2,""
2,4.6,""
2,4.3,""
2,4.6,""
2,4.3,""
2,4.8,""
2,4.9,""
2,4.6,""
2,4.5,""
2,4.4,""
2,4.2,""
2,4.4,""
2,4.6,""
2,4.3,""
2,4.7,""
2,4.5,""
2,4.8,""
2,4.7,""
2,4.2,""
2,4.3,""
2,4.7,""
2,4.5,""
2,4.2,""
2,4.4,""
2,4.6,""
2,4.3,""
2,4.6,""
2,4.6,""
2,4.5,""
2,4.7,""
2,4.3,""
2,4.2,""
2,4.3,""
2,4.6,""
2,4.4,""
2,4.1,""
2,4.6,""
2,4.7,""
2,4.7,""
2,4.2,""
2,4.3,""
2,4.5,""
2,4.2,""
2,4,""
2,4.3,""
2,4.3,""
2,4.6,""
2,4.4,""
2,4.5,""
2,4.4,""
2,4.6,""
2,4.5,""
2,4.5,""
2,4.4,""
2,4.3,""
2,4.5,""
2,4.3,""
2,4.1,""
2,4.7,""
2,4.4,""
2,4.7,""
2,4.3,""
2,4.3,""
2,4.7,""
2,4.5,""
2,4.1,""
2,4.3,""
2,4.8,""
2,4.4,""
2,4.6,""
2,4.3,""
2,4.4,""
2,4.7,""
2,4.4,""
2,4.3,""
2,4.6,""
2,4.6,""
2,4.4,""
2,4.8,""
2,4.2,""
2,4.6,""
2,4.4,""
2,3.2,""
